Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Count 2010,Median 2010,Count 2011,Median 2011,Count 2012,Median 2012,Count 2013,Median 2013,Count 2014,Median 2014,Count 2015,Median 2015,Count 2016,Median 2016,Count 2017,Median 2017,Count 2018,Median 2018,Count 2019,Median 2019,Count 2020,Median 2020
Abbotsford,"$736,000 ","$730,000 ","$714,000 ","$792,500 ","$862,500 ","$925,000 ","$1,187,500 ","$1,280,000 ","$1,192,500 ","$1,050,000 ","$1,205,000 ",695,$413 ,774,$432 ,721,$450 ,831,$460 ,1552,$439 ,1705,$435 ,2139,$448 ,1939,$458 ,1860,$479 ,1945,$495 ,2006,$483 
Albert Park,"$1,167,500 ","$1,390,000 ","$1,265,000 ","$1,360,000 ","$1,503,000 ","$1,700,000 ","$1,775,000 ","$2,150,000 ","$2,070,000 ","$1,980,000 ","$1,890,000 ",961,$430 ,915,$445 ,973,$460 ,973,$462 ,1013,$473 ,930,$493 ,958,$515 ,896,$528 ,911,$563 ,876,$568 ,832,$574 
Alphington,"$1,000,000 ","$985,000 ","$1,000,000 ","$1,080,000 ","$1,029,000 ","$1,296,500 ","$1,272,500 ","$1,560,000 ","$1,720,000 ","$1,592,500 ","$1,857,500 ",551,$313 ,567,$323 ,644,$329 ,653,$343 ,671,$349 ,648,$345 ,703,$368 ,664,$383 ,703,$405 ,675,$444 ,648,$435 
Altona,"$628,500 ","$575,000 ","$570,000 ","$575,000 ","$646,500 ","$718,000 ","$825,000 ","$950,000 ","$932,500 ","$890,000 ","$927,500 ",3082,$321 ,3639,$330 ,4305,$330 ,4243,$339 ,4175,$350 ,4293,$357 ,4587,$371 ,4955,$385 ,4914,$398 ,5215,$400 ,5125,$400 
Armadale,"$1,800,000 ","$1,615,000 ","$1,500,000 ","$1,675,000 ","$1,750,000 ","$2,172,500 ","$2,367,500 ","$2,300,000 ","$2,341,500 ","$2,495,000 ","$2,575,000 ",609,$364 ,643,$383 ,606,$385 ,628,$395 ,671,$394 ,666,$400 ,662,$403 ,781,$445 ,916,$486 ,768,$481 ,743,$499 
Ascot Vale,"$750,000 ","$735,000 ","$701,500 ","$735,000 ","$810,000 ","$885,000 ","$1,010,000 ","$1,180,000 ","$1,197,500 ","$1,088,500 ","$1,275,000 ",1199,$355 ,1242,$376 ,1346,$389 ,1339,$386 ,1389,$385 ,1470,$393 ,1577,$400 ,1597,$418 ,1537,$438 ,1833,$445 ,1852,$431 
Ashburton,"$985,000 ","$890,000 ","$870,000 ","$1,000,000 ","$1,200,000 ","$1,435,000 ","$1,567,500 ","$1,812,500 ","$1,712,500 ","$1,641,500 ","$1,590,000 ",923,$358 ,994,$366 ,999,$391 ,1011,$400 ,1215,$398 ,1173,$405 ,1213,$426 ,1335,$441 ,1421,$458 ,1378,$468 ,1399,$458 
Aspendale,"$637,500 ","$630,000 ","$610,000 ","$620,000 ","$690,000 ","$795,500 ","$891,000 ","$1,125,000 ","$980,000 ","$994,000 ","$1,115,000 ",1392,$328 ,1470,$350 ,1561,$355 ,1506,$357 ,1465,$369 ,1436,$379 ,1468,$393 ,1489,$408 ,1451,$428 ,1497,$440 ,1492,$443 
Avondale Heights,"$576,000 ","$538,000 ","$536,000 ","$532,500 ","$560,000 ","$650,000 ","$750,000 ","$845,500 ","$830,000 ","$810,000 ","$840,000 ",960,$335 ,1019,$348 ,1036,$350 ,1248,$364 ,1310,$370 ,1408,$374 ,1457,$386 ,1475,$398 ,1437,$414 ,1541,$420 ,1468,$415 
Balwyn,"$1,450,000 ","$1,363,000 ","$1,295,000 ","$1,530,000 ","$1,780,000 ","$2,210,000 ","$2,180,000 ","$2,340,000 ","$2,420,000 ","$2,392,500 ","$2,260,000 ",798,$426 ,814,$450 ,872,$455 ,879,$460 ,875,$466 ,905,$493 ,981,$502 ,1151,$500 ,1015,$518 ,1031,$540 ,1029,$553 
Bayswater,"$453,500 ","$447,500 ","$426,500 ","$458,500 ","$525,000 ","$632,500 ","$693,000 ","$800,500 ","$753,000 ","$720,000 ","$746,500 ",454,$296 ,529,$317 ,575,$320 ,567,$326 ,608,$338 ,597,$346 ,667,$350 ,703,$363 ,676,$379 ,687,$389 ,648,$390 
Beaumaris,"$1,107,500 ","$1,050,000 ","$997,000 ","$1,074,000 ","$1,129,500 ","$1,345,000 ","$1,455,000 ","$1,611,000 ","$1,674,000 ","$1,587,500 ","$1,705,000 ",979,$478 ,1047,$490 ,1169,$500 ,1150,$495 ,1182,$511 ,1320,$495 ,1274,$517 ,1225,$538 ,1231,$560 ,1210,$584 ,1229,$591 
