Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Abbotsford,736000,730000,714000,792500,862500,925000,1187500,1280000,1192500,1050000,1205000,64,5.1,$410 ,$427 ,$450 ,$450 ,$450 ,$430 ,$450 ,$450 ,$475 ,$495 ,$490 
Albert Park,1167500,1390000,1265000,1360000,1503000,1700000,1775000,2150000,2070000,1980000,1890000,62,4.9,$425 ,$440 ,$460 ,$465 ,$470 ,$495 ,$500 ,$531 ,$560 ,$560 ,$585 
Alphington,1000000,985000,1000000,1080000,1029000,1296500,1272500,1560000,1720000,1592500,1857500,86,6.4,$310 ,$320 ,$330 ,$340 ,$350 ,$345 ,$365 ,$375 ,$400 ,$445 ,$440 
Altona,628500,575000,570000,575000,646500,718000,825000,950000,932500,890000,927500,48,4.0,$320 ,$330 ,$330 ,$340 ,$350 ,$356 ,$370 ,$380 ,$400 ,$400 ,$400 
Armadale,1800000,1615000,1500000,1675000,1750000,2172500,2367500,2300000,2341500,2495000,2575000,43,3.6,$360 ,$380 ,$385 ,$395 ,$395 ,$398 ,$400 ,$440 ,$490 ,$480 ,$500 
Ascot Vale,750000,735000,701500,735000,810000,885000,1010000,1180000,1197500,1088500,1275000,70,5.4,$350 ,$375 ,$390 ,$390 ,$380 ,$390 ,$400 ,$410 ,$440 ,$450 ,$430 
Ashburton,985000,890000,870000,1000000,1200000,1435000,1567500,1812500,1712500,1641500,1590000,61,4.9,$357 ,$360 ,$390 ,$400 ,$395 ,$401 ,$430 ,$438 ,$460 ,$461 ,$460 
Aspendale,637500,630000,610000,620000,690000,795500,891000,1125000,980000,994000,1115000,75,5.7,$320 ,$350 ,$355 ,$353 ,$370 ,$380 ,$390 ,$400 ,$420 ,$440 ,$440 
Avondale Heights,576000,538000,536000,532500,560000,650000,750000,845500,830000,810000,840000,46,3.8,$330 ,$350 ,$350 ,$360 ,$370 ,$370 ,$385 ,$395 ,$410 ,$420 ,$410 
Balwyn,1450000,1363000,1295000,1530000,1780000,2210000,2180000,2340000,2420000,2392500,2260000,56,4.5,$420 ,$450 ,$450 ,$460 ,$460 ,$495 ,$500 ,$500 ,$520 ,$540 ,$550 
Bayswater,453500,447500,426500,458500,525000,632500,693000,800500,753000,720000,746500,65,5.1,$290 ,$316 ,$320 ,$320 ,$335 ,$345 ,$350 ,$360 ,$380 ,$390 ,$390 
