Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,change 2010-2020,Growth PA
ABBOTSFORD,Abbotsford," $736,000 "," $730,000 "," $714,000 "," $792,500 "," $862,500 "," $925,000 "," $1,187,500 "," $1,280,000 "," $1,192,500 "," $1,050,000 "," $1,205,000 ",64,5.1
ABERFELDIE,Aberfeldie," $1,046,500 "," $994,000 "," $852,500 "," $947,500 "," $1,045,000 "," $1,207,500 "," $1,300,000 "," $1,471,000 "," $1,500,000 "," $1,390,000 "," $1,620,000 ",55,4.5
AIREYS INLET,Aireys Inlet," $606,000 "," $680,000 "," $634,000 "," $664,000 "," $625,500 "," $680,000 "," $715,000 "," $737,500 "," $869,000 "," $985,000 "," $1,125,000 ",86,6.4
AIRPORT WEST,Airport West," $575,000 "," $557,500 "," $495,000 "," $532,000 "," $575,000 "," $635,000 "," $742,000 "," $845,000 "," $845,000 "," $795,000 "," $807,500 ",40,3.5
ALBANVALE,Albanvale," $320,000 "," $317,000 "," $310,000 "," $313,000 "," $328,000 "," $345,000 "," $439,000 "," $526,500 "," $546,000 "," $512,000 "," $540,000 ",69,5.4
ALBERT PARK,Albert Park," $1,167,500 "," $1,390,000 "," $1,265,000 "," $1,360,000 "," $1,503,000 "," $1,700,000 "," $1,775,000 "," $2,150,000 "," $2,070,000 "," $1,980,000 "," $1,890,000 ",62,4.9
ALBION,Albion," $440,000 "," $400,000 "," $379,500 "," $379,000 "," $432,000 "," $481,000 "," $593,000 "," $730,000 "," $755,000 "," $675,000 "," $727,500 ",65,5.2
ALEXANDRA,Alexandra," $230,000 "," $255,000 "," $239,000 "," $261,000 "," $247,500 "," $285,000 "," $275,000 "," $291,500 "," $335,000 "," $325,000 "," $380,000 ",65,5.1
ALFREDTON,Alfredton," $316,000 "," $333,000 "," $340,000 "," $361,500 "," $362,000 "," $340,500 "," $375,000 "," $412,500 "," $439,000 "," $480,000 "," $510,000 ",61,4.9
ALLANSFORD,Allansford," $250,500 "," $332,000 "," $257,500 "," $310,000 "," $242,500 "," $259,000 "," $275,000 "," $280,000 "," $245,000 "," $300,000 "," $362,000 ",45,3.8
ALPHINGTON,Alphington," $1,000,000 "," $985,000 "," $1,000,000 "," $1,080,000 "," $1,029,000 "," $1,296,500 "," $1,272,500 "," $1,560,000 "," $1,720,000 "," $1,592,500 "," $1,857,500 ",86,6.4
ALTONA,Altona," $628,500 "," $575,000 "," $570,000 "," $575,000 "," $646,500 "," $718,000 "," $825,000 "," $950,000 "," $932,500 "," $890,000 "," $927,500 ",48,4
ALTONA EAST,Altona East," $571,000 "," $523,000 "," $550,000 "," $561,000 "," $603,000 "," $650,000 "," $795,000 "," $885,000 "," $895,000 "," $855,000 "," $870,000 ",52,4.3
ALTONA MEADOWS,Altona Meadows," $385,000 "," $395,000 "," $375,000 "," $390,000 "," $415,000 "," $440,000 "," $495,000 "," $625,000 "," $631,500 "," $617,500 "," $642,500 ",67,5.3
ALTONA NORTH,Altona North," $515,000 "," $520,000 "," $484,000 "," $510,000 "," $555,000 "," $645,000 "," $726,000 "," $828,000 "," $840,000 "," $790,000 "," $840,000 ",63,5
ANGLESEA,Anglesea," $580,000 "," $600,500 "," $587,500 "," $550,000 "," $612,500 "," $635,000 "," $652,500 "," $788,000 "," $870,000 "," $910,000 "," $1,070,000 ",84,6.3
APOLLO BAY,Apollo Bay," $442,500 "," $495,000 "," $432,500 "," $450,000 "," $457,500 "," $435,000 "," $480,000 "," $545,000 "," $555,000 "," $600,000 "," $710,000 ",60,4.8
ARARAT,Ararat," $174,000 "," $169,000 "," $165,000 "," $180,000 "," $200,000 "," $210,000 "," $204,500 "," $200,000 "," $199,000 "," $215,000 "," $244,000 ",40,3.4
ARDEER,Ardeer," $382,500 "," $360,000 "," $342,500 "," $330,000 "," $360,000 "," $381,500 "," $517,500 "," $595,000 "," $629,000 "," $572,000 "," $615,000 ",61,4.9
ARMADALE,Armadale," $1,800,000 "," $1,615,000 "," $1,500,000 "," $1,675,000 "," $1,750,000 "," $2,172,500 "," $2,367,500 "," $2,300,000 "," $2,341,500 "," $2,495,000 "," $2,575,000 ",43,3.6
ASCOT (GREATER BENDIGO),Ascot (Greater Bendigo)," $330,000 "," $323,500 "," $350,000 "," $349,500 "," $344,500 "," $349,000 "," $370,000 "," $358,000 "," $380,000 "," $415,500 "," $467,500 ",42,3.5
ASCOT VALE,Ascot Vale," $750,000 "," $735,000 "," $701,500 "," $735,000 "," $810,000 "," $885,000 "," $1,010,000 "," $1,180,000 "," $1,197,500 "," $1,088,500 "," $1,275,000 ",70,5.4
ASHBURTON,Ashburton," $985,000 "," $890,000 "," $870,000 "," $1,000,000 "," $1,200,000 "," $1,435,000 "," $1,567,500 "," $1,812,500 "," $1,712,500 "," $1,641,500 "," $1,590,000 ",61,4.9
ASHWOOD,Ashwood," $760,000 "," $749,000 "," $681,000 "," $775,000 "," $888,000 "," $1,140,000 "," $1,230,000 "," $1,359,000 "," $1,210,000 "," $1,100,000 "," $1,250,000 ",64,5.1
ASPENDALE,Aspendale," $637,500 "," $630,000 "," $610,000 "," $620,000 "," $690,000 "," $795,500 "," $891,000 "," $1,125,000 "," $980,000 "," $994,000 "," $1,115,000 ",75,5.7
ASPENDALE GARDENS,Aspendale Gardens," $581,000 "," $550,000 "," $552,000 "," $586,500 "," $632,000 "," $715,000 "," $775,000 "," $882,500 "," $935,000 "," $844,000 "," $970,000 ",67,5.3
ATTWOOD,Attwood," $576,000 "," $592,000 "," $500,000 "," $540,000 "," $515,000 "," $620,000 "," $660,000 "," $742,500 "," $750,000 "," $767,500 "," $750,000 ",30,2.7
AVENEL,Avenel," $268,500 "," $221,500 "," $230,500 "," $231,000 "," $302,000 "," $245,000 "," $250,000 "," $355,000 "," $349,000 "," $370,000 "," $450,000 ",68,5.3
AVOCA,Avoca," $144,000 "," $151,000 "," $181,500 "," $182,500 "," $180,000 "," $182,500 "," $165,000 "," $212,500 "," $220,000 "," $219,500 "," $280,000 ",94,6.9
AVONDALE HEIGHTS,Avondale Heights," $576,000 "," $538,000 "," $536,000 "," $532,500 "," $560,000 "," $650,000 "," $750,000 "," $845,500 "," $830,000 "," $810,000 "," $840,000 ",46,3.8
AVONSLEIGH,Avonsleigh," $321,500 "," $385,500 "," $345,000 "," $420,000 "," $355,000 "," $397,500 "," $501,000 "," $562,000 "," $540,000 "," $532,500 "," $615,000 ",91,6.7
BACCHUS MARSH,Bacchus Marsh," $305,000 "," $330,000 "," $325,000 "," $335,500 "," $348,000 "," $355,000 "," $376,000 "," $415,500 "," $480,000 "," $500,000 "," $518,000 ",70,5.4
BADGER CREEK,Badger Creek," $295,000 "," $295,000 "," $295,000 "," $315,000 "," $325,000 "," $345,000 "," $379,000 "," $465,000 "," $500,000 "," $498,000 "," $550,000 ",86,6.4
BAIRNSDALE,Bairnsdale," $230,000 "," $235,000 "," $231,000 "," $235,000 "," $244,000 "," $246,500 "," $255,000 "," $272,500 "," $279,000 "," $274,000 "," $290,000 ",26,2.3
BALACLAVA,Balaclava," $916,000 "," $793,500 "," $717,500 "," $860,500 "," $942,000 "," $1,100,000 "," $1,242,500 "," $1,385,500 "," $1,196,000 "," $1,350,000 "," $1,395,000 ",52,4.3
BALCOMBE,Balcombe," $655,000 "," $718,500 "," $686,000 "," $712,500 "," $737,000 "," $871,000 "," $950,000 "," $1,100,000 "," $1,240,000 "," $1,125,000 "," $1,300,000 ",98,7.1
BALLAN,Ballan," $260,000 "," $310,000 "," $305,000 "," $352,000 "," $330,000 "," $359,000 "," $370,000 "," $417,000 "," $462,000 "," $450,000 "," $500,000 ",92,6.8
BALLARAT CENTRAL,Ballarat Central," $280,000 "," $320,000 "," $313,500 "," $322,000 "," $327,500 "," $353,000 "," $385,000 "," $430,000 "," $447,500 "," $515,000 "," $560,000 ",100,7.2
BALLARAT EAST,Ballarat East," $225,500 "," $245,000 "," $255,000 "," $265,000 "," $265,000 "," $275,000 "," $295,000 "," $310,000 "," $340,000 "," $360,000 "," $398,000 ",77,5.9
BALLARAT NORTH,Ballarat North," $272,000 "," $275,000 "," $280,000 "," $296,000 "," $312,000 "," $315,000 "," $339,500 "," $346,500 "," $389,000 "," $415,000 "," $423,000 ",56,4.5
BALNARRING,Balnarring," $480,000 "," $472,500 "," $501,500 "," $525,000 "," $544,000 "," $595,000 "," $670,000 "," $815,000 "," $814,500 "," $825,000 "," $938,500 ",96,6.9
BALNARRING BEACH,Balnarring Beach," $787,500 "," $630,000 "," $660,000 "," $750,000 "," $700,000 "," $887,500 "," $904,000 "," $890,000 "," $1,115,000 "," $1,275,000 "," $1,210,000 ",54,4.4
BALWYN,Balwyn," $1,450,000 "," $1,363,000 "," $1,295,000 "," $1,530,000 "," $1,780,000 "," $2,210,000 "," $2,180,000 "," $2,340,000 "," $2,420,000 "," $2,392,500 "," $2,260,000 ",56,4.5
BALWYN NORTH,Balwyn North," $1,141,000 "," $1,100,000 "," $997,500 "," $1,240,000 "," $1,452,000 "," $1,850,000 "," $1,800,000 "," $1,950,000 "," $1,810,000 "," $1,722,500 "," $1,875,000 ",64,5.1
