,Locality,,,,,,,,,Count 2010,Median 2010,,,,,,,,,Count 2011,Median 2011,,,,,,,,,Count 2012,Median 2012,,,,,,,,,Count 2013,Median 2013,,,,,,,,,Count 2014,Median 2014,,,,,,,,,Count 2015,Median 2015,,,,,,,,,Count 2016,Median 2016,,,,,,,,,Count 2017,Median 2017,,,,,,,,,Count 2018,Median 2018,,,,,,,,,Count 2019,Median 2019,,,,,,,,,Count 2020,Median 2020
,locality,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,,,,,,,,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median
Inner Melbourne,Albert Park-Middle Park-West St Kilda,958,$425 ,953,$425 ,977,$430 ,956,$440 ,961,$430 ,923,$440 ,913,$440 ,899,$450 ,923,$450 ,915,$445 ,965,$450 ,976,$460 ,994,$460 ,958,$470 ,973,$460 ,970,$470 ,966,$465 ,952,$451 ,"1,005",$460 ,973,$462 ,"1,013",$460 ,"1,032",$470 ,"1,019",$480 ,986,$480 ,1013,$473 ,942,$480 ,926,$495 ,913,$495 ,939,$500 ,930,$493 ,963,$520 ,972,$500 ,974,$520 ,923,$520 ,958,$515 ,911,$520 ,888,$531 ,888,$530 ,897,$530 ,896,$528 ,886,$550 ,918,$560 ,914,$570 ,924,$570 ,911,$563 ,907,$550 ,888,$560 ,861,$565 ,848,$595 ,876,$568 ,852,$600 ,826,$585 ,802,$560 ,848,$550 ,832,$574 
,Armadale,592,$360 ,604,$360 ,624,$365 ,617,$370 ,609,$364 ,649,$380 ,657,$380 ,635,$380 ,629,$390 ,643,$383 ,610,$385 ,609,$385 ,597,$385 ,607,$385 ,606,$385 ,618,$395 ,621,$395 ,633,$395 ,641,$395 ,628,$395 ,658,$390 ,676,$395 ,672,$390 ,677,$400 ,671,$394 ,681,$400 ,662,$398 ,663,$400 ,659,$400 ,666,$400 ,654,$400 ,662,$400 ,672,$400 ,658,$410 ,662,$403 ,679,$420 ,688,$440 ,831,$450 ,925,$470 ,781,$445 ,965,$480 ,987,$490 ,887,$495 ,826,$480 ,916,$486 ,795,$480 ,742,$480 ,760,$480 ,776,$485 ,768,$481 ,753,$500 ,782,$500 ,709,$500 ,729,$495 ,743,$499 
,Carlton North,488,$423 ,485,$440 ,507,$450 ,515,$450 ,499,$441 ,543,$450 ,525,$460 ,525,$470 ,521,$480 ,529,$465 ,476,$495 ,490,$500 ,499,$495 ,488,$490 ,488,$495 ,506,$480 ,522,$490 ,509,$500 ,524,$500 ,515,$493 ,546,$510 ,544,$510 ,540,$520 ,526,$520 ,539,$515 ,535,$530 ,528,$530 ,542,$530 ,561,$530 ,542,$530 ,545,$530 ,543,$530 ,530,$520 ,510,$523 ,532,$526 ,500,$530 ,485,$540 ,480,$550 ,500,$560 ,491,$545 ,500,$562 ,508,$560 ,526,$570 ,493,$575 ,507,$567 ,486,$580 ,495,$577 ,484,$580 ,520,$580 ,496,$579 ,539,$585 ,536,$590 ,520,$590 ,547,$590 ,536,$589 
,Carlton-Parkville,"3,375",$340 ,"3,356",$340 ,"3,224",$340 ,"3,176",$340 ,3283,$340 ,"3,257",$340 ,"3,337",$340 ,"3,488",$340 ,"3,565",$340 ,3412,$340 ,"3,864",$340 ,"3,783",$340 ,"3,808",$340 ,"3,885",$340 ,3835,$340 ,"3,858",$346 ,"3,848",$346 ,"3,846",$346 ,"3,775",$350 ,3832,$347 ,"4,004",$355 ,"4,163",$351 ,"4,402",$350 ,"4,530",$351 ,4275,$352 ,"4,650",$351 ,"4,851",$361 ,"4,862",$380 ,"5,119",$370 ,4871,$366 ,"5,414",$373 ,"5,222",$370 ,"5,216",$370 ,"4,972",$380 ,5206,$373 ,"4,617",$395 ,"4,618",$395 ,"4,753",$400 ,"4,772",$400 ,4690,$398 ,"4,480",$410 ,"4,409",$410 ,"4,386",$420 ,"4,414",$428 ,4422,$417 ,"4,328",$439 ,"4,472",$440 ,"4,490",$430 ,"4,606",$420 ,4474,$432 ,"5,212",$404 ,"5,025",$400 ,"4,633",$400 ,"4,765",$395 ,4909,$400 
,CBD-St Kilda Rd,"5,630",$410 ,"5,642",$410 ,"5,709",$420 ,"5,957",$420 ,5735,$415 ,"6,231",$420 ,"6,193",$430 ,"6,061",$430 ,"6,074",$430 ,6140,$428 ,"6,232",$440 ,"6,405",$440 ,"6,570",$440 ,"6,629",$445 ,6459,$441 ,"6,932",$450 ,"7,288",$449 ,"7,616",$440 ,"7,875",$435 ,7428,$444 ,"8,337",$430 ,"8,442",$435 ,"8,787",$435 ,"9,094",$440 ,8665,$435 ,"9,873",$440 ,"9,958",$440 ,"10,439",$440 ,"10,426",$449 ,10174,$442 ,"9,988",$450 ,"9,965",$450 ,"10,059",$450 ,"10,041",$460 ,10013,$453 ,"10,423",$470 ,"10,763",$480 ,"10,694",$480 ,"10,742",$490 ,10656,$480 ,"10,447",$495 ,"10,030",$495 ,"10,225",$490 ,"10,136",$495 ,10210,$494 ,"10,546",$500 ,"10,853",$500 ,"10,844",$510 ,"10,840",$510 ,10771,$505 ,"10,907",$510 ,"11,039",$495 ,"11,325",$460 ,"13,478",$420 ,11687,$471 
,Collingwood-Abbotsford,650,$400 ,695,$410 ,693,$420 ,741,$420 ,695,$413 ,783,$420 ,769,$427 ,783,$430 ,760,$450 ,774,$432 ,721,$450 ,726,$450 ,731,$450 ,706,$450 ,721,$450 ,713,$450 ,724,$450 ,857,$470 ,"1,028",$470 ,831,$460 ,"1,314",$450 ,"1,483",$450 ,"1,695",$430 ,"1,715",$425 ,1552,$439 ,"1,619",$430 ,"1,634",$430 ,"1,693",$440 ,"1,872",$440 ,1705,$435 ,"2,183",$440 ,"2,208",$450 ,"2,096",$450 ,"2,067",$450 ,2139,$448 ,"1,976",$450 ,"1,989",$450 ,"1,919",$460 ,"1,872",$473 ,1939,$458 ,"1,844",$480 ,"1,846",$475 ,"1,881",$475 ,"1,868",$485 ,1860,$479 ,"1,913",$490 ,"1,909",$495 ,"1,921",$495 ,"2,038",$500 ,1945,$495 ,"1,952",$500 ,"1,993",$490 ,"1,990",$480 ,"2,090",$460 ,2006,$483 
,Docklands,"1,171",$500 ,"1,156",$500 ,"1,130",$501 ,"1,104",$510 ,1140,$503 ,"1,046",$530 ,"1,006",$540 ,"1,061",$530 ,"1,131",$530 ,1061,$533 ,"1,266",$530 ,"1,341",$530 ,"1,587",$510 ,"1,730",$500 ,1481,$518 ,"1,762",$500 ,"1,848",$500 ,"1,769",$510 ,"1,795",$500 ,1794,$503 ,"1,999",$500 ,"1,968",$500 ,"1,887",$495 ,"1,781",$500 ,1909,$499 ,"1,615",$500 ,"1,699",$500 ,"1,699",$500 ,"1,676",$510 ,1672,$503 ,"1,774",$520 ,"1,745",$530 ,"1,826",$530 ,"2,050",$520 ,1849,$525 ,"2,319",$520 ,"2,443",$510 ,"2,650",$520 ,"2,806",$540 ,2555,$523 ,"2,788",$550 ,"2,757",$550 ,"2,648",$550 ,"2,411",$550 ,2651,$550 ,"2,300",$570 ,"2,349",$580 ,"2,395",$575 ,"2,364",$580 ,2352,$576 ,"2,268",$570 ,"2,229",$550 ,"2,475",$500 ,"3,010",$460 ,2496,$520 
,East Melbourne,641,$400 ,660,$410 ,650,$415 ,626,$425 ,644,$413 ,580,$430 ,580,$440 ,549,$450 ,561,$450 ,568,$443 ,549,$450 ,506,$450 ,507,$460 ,472,$468 ,509,$457 ,479,$460 ,504,$460 ,533,$460 ,557,$460 ,518,$460 ,565,$460 ,549,$470 ,517,$460 ,503,$460 ,534,$463 ,488,$465 ,509,$450 ,508,$470 ,520,$473 ,506,$465 ,499,$470 ,480,$479 ,495,$480 ,501,$475 ,494,$476 ,538,$495 ,539,$495 ,523,$495 ,495,$500 ,524,$496 ,464,$500 ,457,$500 ,475,$510 ,499,$500 ,474,$503 ,518,$495 ,544,$500 ,596,$520 ,627,$550 ,571,$516 ,635,$550 ,629,$550 ,562,$515 ,549,$495 ,594,$528 
,East St Kilda,"1,513",$330 ,"1,532",$335 ,"1,557",$345 ,"1,594",$350 ,1549,$340 ,"1,607",$350 ,"1,624",$350 ,"1,606",$355 ,"1,615",$350 ,1613,$351 ,"1,644",$360 ,"1,663",$360 ,"1,697",$360 ,"1,716",$360 ,1680,$360 ,"1,725",$360 ,"1,718",$360 ,"1,763",$360 ,"1,773",$360 ,1745,$360 ,"1,770",$365 ,"1,783",$370 ,"1,751",$370 ,"1,770",$360 ,1769,$366 ,"1,768",$360 ,"1,792",$360 ,"1,806",$365 ,"1,788",$375 ,1789,$365 ,"1,792",$385 ,"1,755",$385 ,"1,752",$390 ,"1,726",$390 ,1756,$388 ,"1,725",$400 ,"1,701",$400 ,"1,716",$400 ,"1,788",$400 ,1733,$400 ,"1,775",$400 ,"1,768",$400 ,"1,716",$410 ,"1,681",$415 ,1735,$406 ,"1,678",$420 ,"1,699",$420 ,"1,668",$425 ,"1,633",$425 ,1670,$423 ,"1,641",$425 ,"1,615",$425 ,"1,597",$420 ,"1,617",$410 ,1618,$420 
