,Locality,,Jun-10,,Jun-11,,Jun-12,,Jun-13,,Jun-14,,Jun-15,,Jun-16,,Jun-17,,Jun-18,,Jun-19,,Jun-20
,locality,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median
Inner Melbourne,Albert Park-Middle Park-West St Kilda,953,$425 ,913,$440 ,976,$460 ,966,$465 ,"1,032",$470 ,926,$495 ,972,$500 ,888,$531 ,918,$560 ,888,$560 ,826,$585 
,Armadale,604,$360 ,657,$380 ,609,$385 ,621,$395 ,676,$395 ,662,$398 ,662,$400 ,688,$440 ,987,$490 ,742,$480 ,782,$500 
,Carlton North,485,$440 ,525,$460 ,490,$500 ,522,$490 ,544,$510 ,528,$530 ,543,$530 ,485,$540 ,508,$560 ,495,$577 ,536,$590 
,Carlton-Parkville,"3,356",$340 ,"3,337",$340 ,"3,783",$340 ,"3,848",$346 ,"4,163",$351 ,"4,851",$361 ,"5,222",$370 ,"4,618",$395 ,"4,409",$410 ,"4,472",$440 ,"5,025",$400 
,CBD-St Kilda Rd,"5,642",$410 ,"6,193",$430 ,"6,405",$440 ,"7,288",$449 ,"8,442",$435 ,"9,958",$440 ,"9,965",$450 ,"10,763",$480 ,"10,030",$495 ,"10,853",$500 ,"11,039",$495 
,Collingwood-Abbotsford,695,$410 ,769,$427 ,726,$450 ,724,$450 ,"1,483",$450 ,"1,634",$430 ,"2,208",$450 ,"1,989",$450 ,"1,846",$475 ,"1,909",$495 ,"1,993",$490 
,Docklands,"1,156",$500 ,"1,006",$540 ,"1,341",$530 ,"1,848",$500 ,"1,968",$500 ,"1,699",$500 ,"1,745",$530 ,"2,443",$510 ,"2,757",$550 ,"2,349",$580 ,"2,229",$550 
,East Melbourne,660,$410 ,580,$440 ,506,$450 ,504,$460 ,549,$470 ,509,$450 ,480,$479 ,539,$495 ,457,$500 ,544,$500 ,629,$550 
,East St Kilda,"1,532",$335 ,"1,624",$350 ,"1,663",$360 ,"1,718",$360 ,"1,783",$370 ,"1,792",$360 ,"1,755",$385 ,"1,701",$400 ,"1,768",$400 ,"1,699",$420 ,"1,615",$425 
,Elwood,"1,699",$360 ,"1,768",$380 ,"1,753",$395 ,"1,828",$390 ,"1,832",$390 ,"1,911",$400 ,"1,798",$400 ,"1,747",$420 ,"1,642",$430 ,"1,639",$450 ,"1,557",$450 
,Fitzroy,627,$450 ,688,$470 ,665,$490 ,695,$490 ,682,$520 ,702,$500 ,799,$510 ,632,$530 ,630,$555 ,647,$595 ,653,$570 
,Fitzroy North-Clifton Hill,884,$430 ,907,$450 ,"1,059",$460 ,"1,015",$490 ,"1,074",$495 ,"1,107",$500 ,"1,157",$500 ,"1,119",$520 ,"1,027",$550 ,"1,108",$570 ,"1,071",$550 
,Flemington-Kensington,"1,217",$365 ,"1,396",$370 ,"1,302",$385 ,"1,692",$380 ,"1,565",$390 ,"1,584",$395 ,"1,537",$400 ,"1,424",$415 ,"1,612",$420 ,"1,638",$440 ,"1,431",$440 
,North Melbourne-West Melbourne,"1,484",$380 ,"1,722",$400 ,"2,012",$390 ,"2,011",$390 ,"2,106",$390 ,"2,504",$400 ,"2,627",$400 ,"2,804",$420 ,"2,836",$440 ,"2,647",$450 ,"3,487",$455 
,Port Melbourne,"1,374",$490 ,"1,291",$515 ,"1,328",$540 ,"1,541",$530 ,"1,439",$530 ,"1,403",$540 ,"1,418",$550 ,"1,339",$570 ,"1,343",$600 ,"1,220",$600 ,"1,315",$600 
,Prahran-Windsor,"1,811",$370 ,"1,907",$390 ,"1,862",$400 ,"2,453",$380 ,"2,723",$385 ,"2,642",$400 ,"2,676",$400 ,"2,482",$410 ,"2,484",$440 ,"2,405",$440 ,"2,446",$450 
,Richmond-Burnley,"2,104",$438 ,"1,983",$450 ,"2,446",$465 ,"2,629",$475 ,"2,707",$470 ,"2,799",$475 ,"2,734",$490 ,"2,853",$500 ,"2,721",$515 ,"2,925",$530 ,"2,975",$525 
